,reference_num,dir_1,dir_2,Label,Label1,Label2,Rank1,Rank2,Rank,lig1,lig2
0,1,PSK13_pose/PSK13_lig_27.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.2596373105057568,6.221848749616356,6.481486060122113,0,5,5,lig_27,lig_35
1,1,PSK13_pose/PSK13_lig_14.pkl,PSK13_pose/PSK13_lig_35.pkl,0.2632414347745806,6.7447274948966935,6.481486060122113,1,5,5,lig_14,lig_35
2,1,PSK13_pose/PSK13_lig_21.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.560667306169738,5.920818753952375,6.481486060122113,2,5,5,lig_21,lig_35
3,1,PSK13_pose/PSK13_lig_23.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.4357285695614381,6.045757490560675,6.481486060122113,3,5,5,lig_23,lig_35
4,1,PSK13_pose/PSK13_lig_42.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.3507177798530891,6.130768280269024,6.481486060122113,4,5,5,lig_42,lig_35
5,1,PSK13_pose/PSK13_lig_47.pkl,PSK13_pose/PSK13_lig_35.pkl,0.3424226808222057,6.823908740944319,6.481486060122113,6,5,6,lig_47,lig_35
6,1,PSK13_pose/PSK13_lig_39.pkl,PSK13_pose/PSK13_lig_35.pkl,0.1962946451439675,6.6777807052660805,6.481486060122113,8,5,8,lig_39,lig_35
7,1,PSK13_pose/PSK13_lig_30.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.5920757704213617,5.889410289700751,6.481486060122113,10,5,10,lig_30,lig_35
8,1,PSK13_pose/PSK13_lig_22.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.711934981500387,5.769551078621726,6.481486060122113,11,5,11,lig_22,lig_35
9,1,PSK13_pose/PSK13_lig_28.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.2876660341060004,6.1938200260161125,6.481486060122113,12,5,12,lig_28,lig_35
10,1,PSK13_pose/PSK13_lig_29.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.3448089202425688,6.136677139879544,6.481486060122113,13,5,13,lig_29,lig_35
11,1,PSK13_pose/PSK13_lig_40.pkl,PSK13_pose/PSK13_lig_35.pkl,0.1205739312058495,6.6020599913279625,6.481486060122113,14,5,14,lig_40,lig_35
12,1,PSK13_pose/PSK13_lig_18.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.1346985738974568,6.346787486224656,6.481486060122113,15,5,15,lig_18,lig_35
13,1,PSK13_pose/PSK13_lig_6.pkl,PSK13_pose/PSK13_lig_35.pkl,0.0871501757189001,6.568636235841013,6.481486060122113,16,5,16,lig_6,lig_35
14,1,PSK13_pose/PSK13_lig_17.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.6989700043360187,5.782516055786094,6.481486060122113,17,5,17,lig_17,lig_35
15,1,PSK13_pose/PSK13_lig_45.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.0377885608893997,6.443697499232713,6.481486060122113,18,5,18,lig_45,lig_35
16,1,PSK13_pose/PSK13_lig_16.pkl,PSK13_pose/PSK13_lig_35.pkl,-0.1890562362200496,6.292429823902063,6.481486060122113,19,5,19,lig_16,lig_35
