,Unnamed: 0,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,abs_label_p,abs_predict_p
0,0,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_26_dgl_group.pkl,-0.8900000000000006,6.55,7.44,17,0,17,lig_cdk8_17,lig_cdk8_26,7.440000057220459,6.331195816397667
1,1,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_45_dgl_group.pkl,-1.6000000000000003,6.55,8.15,17,1,17,lig_cdk8_17,lig_cdk8_45,8.149999618530273,6.990419507026672
2,2,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_16_dgl_group.pkl,-0.2199999999999997,6.55,6.77,17,2,17,lig_cdk8_17,lig_cdk8_16,6.769999980926514,5.6231478452682495
3,3,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_15_dgl_group.pkl,0.9500000000000002,6.55,5.6,17,3,17,lig_cdk8_17,lig_cdk8_15,5.599999904632568,5.393986701965332
4,4,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_40_dgl_group.pkl,-1.6000000000000003,6.55,8.15,17,4,17,lig_cdk8_17,lig_cdk8_40,8.149999618530273,7.11434680223465
5,5,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_22_dgl_group.pkl,-0.9400000000000004,6.55,7.49,17,5,17,lig_cdk8_17,lig_cdk8_22,7.489999771118164,6.623489618301392
6,6,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_21_dgl_group.pkl,-0.5600000000000005,6.55,7.11,17,6,17,lig_cdk8_17,lig_cdk8_21,7.110000133514404,6.966369271278381
7,7,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_33_dgl_group.pkl,-1.5499999999999998,6.55,8.1,17,7,17,lig_cdk8_17,lig_cdk8_33,8.100000381469727,6.850870341062546
8,8,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_31_dgl_group.pkl,-2.1499999999999995,6.55,8.7,17,8,17,lig_cdk8_17,lig_cdk8_31,8.699999809265137,6.678793206810951
9,9,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_18_dgl_group.pkl,-1.4500000000000002,6.55,8.0,17,9,17,lig_cdk8_17,lig_cdk8_18,8.0,7.238186120986938
10,10,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_34_dgl_group.pkl,-1.6000000000000003,6.55,8.15,17,10,17,lig_cdk8_17,lig_cdk8_34,8.149999618530273,7.226863503456116
11,11,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_19_dgl_group.pkl,-1.2700000000000005,6.55,7.82,17,11,17,lig_cdk8_17,lig_cdk8_19,7.820000171661377,6.412895023822784
12,12,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_24_dgl_group.pkl,-0.9900000000000002,6.55,7.54,17,12,17,lig_cdk8_17,lig_cdk8_24,7.539999961853027,6.453364610671997
13,13,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_25_dgl_group.pkl,-0.5899999999999999,6.55,7.14,17,13,17,lig_cdk8_17,lig_cdk8_25,7.139999866485596,6.109723925590515
14,14,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_39_dgl_group.pkl,-1.8500000000000003,6.55,8.4,17,14,17,lig_cdk8_17,lig_cdk8_39,8.399999618530273,7.002006113529205
15,15,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_29_dgl_group.pkl,-0.1900000000000004,6.55,6.74,17,15,17,lig_cdk8_17,lig_cdk8_29,6.739999771118164,6.772539556026459
16,16,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_43_dgl_group.pkl,-2.1499999999999995,6.55,8.7,17,16,17,lig_cdk8_17,lig_cdk8_43,8.699999809265137,7.289885282516479
17,17,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_17_dgl_group.pkl,0.0,6.55,6.55,17,17,17,lig_cdk8_17,lig_cdk8_17,6.550000190734863,6.629762917757034
18,18,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_41_dgl_group.pkl,-1.6700000000000008,6.55,8.22,17,18,18,lig_cdk8_17,lig_cdk8_41,8.220000267028809,7.289107978343964
19,19,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_13_dgl_group.pkl,-1.37,6.55,7.92,17,19,19,lig_cdk8_17,lig_cdk8_13,7.920000076293945,7.3184685707092285
20,20,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_36_dgl_group.pkl,-1.6700000000000008,6.55,8.22,17,20,20,lig_cdk8_17,lig_cdk8_36,8.220000267028809,7.23615425825119
21,21,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_20_dgl_group.pkl,-1.25,6.55,7.8,17,21,21,lig_cdk8_17,lig_cdk8_20,7.800000190734863,7.282963752746582
22,22,0,cdk8//lig_cdk8_17_dgl_group.pkl,cdk8//lig_cdk8_42_dgl_group.pkl,-1.8500000000000003,6.55,8.4,17,22,22,lig_cdk8_17,lig_cdk8_42,8.399999618530273,7.391251802444458
