,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,dir_1,dir_2,Label,Label1,Label2,lig2,lig1
0,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_9c.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,1.1356626020000729,8.221848749616356,7.086186147616283,0,42,42,lig_9c,lig_6a,sEH_pose/sEH_lig_9c.pkl,sEH_pose/sEH_lig_6a.pkl,1.1356626020000729,8.221848749616356,7.086186147616283,lig_6a,lig_9c
1,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_11h.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,1.9138138523837167,9.0,7.086186147616283,1,42,42,lig_11h,lig_6a,sEH_pose/sEH_lig_11h.pkl,sEH_pose/sEH_lig_6a.pkl,1.9138138523837167,9.0,7.086186147616283,lig_6a,lig_11h
2,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6f.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,-0.23847449199934,6.847711655616943,7.086186147616283,2,42,42,lig_6f,lig_6a,sEH_pose/sEH_lig_6f.pkl,sEH_pose/sEH_lig_6a.pkl,-0.23847449199934,6.847711655616943,7.086186147616283,lig_6a,lig_6f
3,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6b.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,-0.5940420193121145,6.492144128304169,7.086186147616283,3,42,42,lig_6b,lig_6a,sEH_pose/sEH_lig_6b.pkl,sEH_pose/sEH_lig_6a.pkl,-0.5940420193121145,6.492144128304169,7.086186147616283,lig_6a,lig_6b
4,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_8c.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,1.436692597664054,8.522878745280337,7.086186147616283,4,42,42,lig_8c,lig_6a,sEH_pose/sEH_lig_8c.pkl,sEH_pose/sEH_lig_6a.pkl,1.436692597664054,8.522878745280337,7.086186147616283,lig_6a,lig_8c
5,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_11o.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,0.7998705000768798,7.886056647693163,7.086186147616283,5,42,42,lig_11o,lig_6a,sEH_pose/sEH_lig_11o.pkl,sEH_pose/sEH_lig_6a.pkl,0.7998705000768798,7.886056647693163,7.086186147616283,lig_6a,lig_11o
6,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_8d.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,1.010723865391773,8.096910013008056,7.086186147616283,6,42,42,lig_8d,lig_6a,sEH_pose/sEH_lig_8d.pkl,sEH_pose/sEH_lig_6a.pkl,1.010723865391773,8.096910013008056,7.086186147616283,lig_6a,lig_8d
7,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_9b.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,0.8346326063360916,7.920818753952375,7.086186147616283,7,42,42,lig_9b,lig_6a,sEH_pose/sEH_lig_9b.pkl,sEH_pose/sEH_lig_6a.pkl,0.8346326063360916,7.920818753952375,7.086186147616283,lig_6a,lig_9b
8,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6i.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,-0.0257054002349015,7.060480747381382,7.086186147616283,8,42,42,lig_6i,lig_6a,sEH_pose/sEH_lig_6i.pkl,sEH_pose/sEH_lig_6a.pkl,-0.0257054002349015,7.060480747381382,7.086186147616283,lig_6a,lig_6i
9,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_8f.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/sEH_pose/sEH_lig_6a.pkl,1.1356626020000729,8.221848749616356,7.086186147616283,9,42,42,lig_8f,lig_6a,sEH_pose/sEH_lig_8f.pkl,sEH_pose/sEH_lig_6a.pkl,1.1356626020000729,8.221848749616356,7.086186147616283,lig_6a,lig_8f
