,reference_num,Ligand1,Ligand2,Lable,Lable1,Lable2,Rank1,Rank2,Rank,Ligand1_num,Ligand2_num,dir_1,dir_2,Label,Label1,Label2,lig2,lig1
0,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_(R)-31.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,0.0377885608893997,7.958607314841775,7.920818753952375,0,24,24,lig_(R)-31,lig_7,AAK1_pose/AAK1_lig_(R)-31.pkl,AAK1_pose/AAK1_lig_7.pkl,0.0377885608893997,7.958607314841775,7.920818753952375,lig_7,lig_(R)-31
1,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_14.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,-1.4522976709946305,6.468521082957745,7.920818753952375,1,24,24,lig_14,lig_7,AAK1_pose/AAK1_lig_14.pkl,AAK1_pose/AAK1_lig_7.pkl,-1.4522976709946305,6.468521082957745,7.920818753952375,lig_7,lig_14
2,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_26.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,-0.1249387366082999,7.795880017344075,7.920818753952375,2,24,24,lig_26,lig_7,AAK1_pose/AAK1_lig_26.pkl,AAK1_pose/AAK1_lig_7.pkl,-0.1249387366082999,7.795880017344075,7.920818753952375,lig_7,lig_26
3,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_(R)-11.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,-1.2632414347745815,6.657577319177793,7.920818753952375,3,24,24,lig_(R)-11,lig_7,AAK1_pose/AAK1_lig_(R)-11.pkl,AAK1_pose/AAK1_lig_7.pkl,-1.2632414347745815,6.657577319177793,7.920818753952375,lig_7,lig_(R)-11
4,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_11.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,-0.7468935566532018,7.173925197299173,7.920818753952375,4,24,24,lig_11,lig_7,AAK1_pose/AAK1_lig_11.pkl,AAK1_pose/AAK1_lig_7.pkl,-0.7468935566532018,7.173925197299173,7.920818753952375,lig_7,lig_11
5,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_18.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,-0.151267675330649,7.769551078621726,7.920818753952375,5,24,24,lig_18,lig_7,AAK1_pose/AAK1_lig_18.pkl,AAK1_pose/AAK1_lig_7.pkl,-0.151267675330649,7.769551078621726,7.920818753952375,lig_7,lig_18
6,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_20.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,-1.4771212547196626,6.443697499232712,7.920818753952375,6,24,24,lig_20,lig_7,AAK1_pose/AAK1_lig_20.pkl,AAK1_pose/AAK1_lig_7.pkl,-1.4771212547196626,6.443697499232712,7.920818753952375,lig_7,lig_20
7,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_13.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,-1.282546589969968,6.638272163982407,7.920818753952375,7,24,24,lig_13,lig_7,AAK1_pose/AAK1_lig_13.pkl,AAK1_pose/AAK1_lig_7.pkl,-1.282546589969968,6.638272163982407,7.920818753952375,lig_7,lig_13
8,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_(S)-21.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,0.0,7.920818753952375,7.920818753952375,8,24,24,lig_(S)-21,lig_7,AAK1_pose/AAK1_lig_(S)-21.pkl,AAK1_pose/AAK1_lig_7.pkl,0.0,7.920818753952375,7.920818753952375,lig_7,lig_(S)-21
9,1,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_17.pkl,/home/user-home/yujie/0_PBCNetv2/data_BindingDB/Selection/selection_pose/AAK1_pose/AAK1_lig_7.pkl,-1.4771212547196626,6.443697499232712,7.920818753952375,9,24,24,lig_17,lig_7,AAK1_pose/AAK1_lig_17.pkl,AAK1_pose/AAK1_lig_7.pkl,-1.4771212547196626,6.443697499232712,7.920818753952375,lig_7,lig_17
